condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
congruent_pinky_thumb,15,0,1,99,20.51,34.0,0.02,0.53,109,2269,Incorrect
congruent_pinky_thumb,15,1,2,113,47.61,59.92,0.05,0.94,113,1552,Correct
congruent_pinky_thumb,15,2,1,109,52.58,40.15,0.06,0.63,99,987,Incorrect
congruent_pinky_thumb,15,3,1,109,39.07,20.99,0.04,0.33,109,747,Correct
congruent_pinky_thumb,15,4,2,112,66.77,50.82,0.07,0.8,112,1115,Correct
congruent_pinky_thumb,15,5,1,99,53.17,83.18,0.06,1.31,109,896,Incorrect
congruent_pinky_thumb,15,6,1,109,40.06,19.11,0.04,0.3,109,1074,Correct
congruent_pinky_thumb,15,7,2,112,76.81,49.46,0.09,0.78,112,1125,Correct
congruent_pinky_thumb,15,8,2,112,34.7,19.15,0.04,0.3,112,1123,Correct
congruent_pinky_thumb,15,9,1,99,44.6,54.9,0.05,0.86,99,1274,Correct
congruent_pinky_thumb,15,10,1,99,49.76,77.36,0.06,1.22,109,905,Incorrect
congruent_pinky_thumb,15,11,1,99,36.13,44.97,0.04,0.71,109,923,Incorrect
congruent_pinky_thumb,15,12,1,109,41.6,23.23,0.05,0.36,109,1041,Correct
congruent_pinky_thumb,15,13,1,109,39.3,13.93,0.04,0.22,99,993,Incorrect
congruent_pinky_thumb,15,14,2,112,44.16,33.96,0.05,0.53,112,1048,Correct
congruent_pinky_thumb,15,15,2,113,34.27,53.27,0.04,0.84,112,943,Incorrect
congruent_pinky_thumb,15,16,2,112,70.35,60.42,0.08,0.95,113,1664,Incorrect
congruent_pinky_thumb,15,17,2,113,15.66,38.83,0.02,0.61,112,1234,Incorrect
congruent_pinky_thumb,15,18,1,109,50.59,32.95,0.06,0.52,109,1037,Correct
congruent_pinky_thumb,15,19,1,99,47.96,74.72,0.05,1.17,99,940,Correct
congruent_pinky_thumb,15,20,1,109,64.7,42.43,0.07,0.67,99,2119,Incorrect
congruent_pinky_thumb,15,21,2,112,46.25,37.94,0.05,0.6,112,1333,Correct
congruent_pinky_thumb,15,22,1,109,82.98,60.52,0.09,0.95,109,3825,Correct
congruent_pinky_thumb,15,23,2,113,42.72,61.09,0.05,0.96,112,1443,Incorrect
congruent_pinky_thumb,15,24,2,113,67.64,87.5,0.08,1.37,113,917,Correct
congruent_pinky_thumb,15,25,2,112,56.6,27.37,0.06,0.43,112,1226,Correct
congruent_pinky_thumb,15,26,2,112,65.21,39.9,0.07,0.63,112,1038,Correct
congruent_pinky_thumb,15,27,1,109,75.94,59.7,0.08,0.94,109,1694,Correct
congruent_pinky_thumb,15,28,2,113,51.63,66.56,0.06,1.05,113,1731,Correct
congruent_pinky_thumb,15,29,2,113,23.27,55.47,0.03,0.87,113,1006,Correct
congruent_pinky_thumb,15,30,2,112,68.85,46.65,0.08,0.73,112,1289,Correct
congruent_pinky_thumb,15,31,2,113,49.89,75.69,0.06,1.19,113,928,Correct
congruent_pinky_thumb,15,32,1,109,76.46,61.53,0.09,0.97,99,1218,Incorrect
congruent_pinky_thumb,15,33,2,113,47.36,75.34,0.05,1.18,112,999,Incorrect
congruent_pinky_thumb,15,34,1,99,44.63,71.12,0.05,1.12,109,1015,Incorrect
congruent_pinky_thumb,15,35,2,113,50.09,76.71,0.06,1.2,113,2135,Correct
congruent_pinky_thumb,15,36,1,109,43.3,21.8,0.05,0.34,109,1676,Correct
congruent_pinky_thumb,15,37,1,99,21.25,47.32,0.02,0.74,99,1453,Correct
congruent_pinky_thumb,15,38,1,99,34.53,61.19,0.04,0.96,99,846,Correct
congruent_pinky_thumb,15,39,1,99,30.97,56.16,0.03,0.88,99,623,Correct
congruent_pinky_thumb,15,40,1,99,45.32,54.12,0.05,0.85,109,861,Incorrect
congruent_pinky_thumb,15,41,2,112,40.66,23.02,0.05,0.36,112,953,Correct
congruent_pinky_thumb,15,42,1,99,39.59,71.92,0.04,1.13,99,1452,Correct
congruent_pinky_thumb,15,43,2,113,17.79,45.28,0.02,0.71,112,1328,Incorrect
congruent_pinky_thumb,15,44,1,99,41.5,59.61,0.05,0.94,99,1936,Correct
congruent_pinky_thumb,15,45,1,99,45.32,54.17,0.05,0.85,99,776,Correct
congruent_pinky_thumb,15,46,2,113,33.11,60.41,0.04,0.95,113,2198,Correct
congruent_pinky_thumb,15,47,1,109,65.22,36.01,0.07,0.57,99,2212,Incorrect
congruent_pinky_thumb,15,48,1,109,54.36,35.29,0.06,0.55,109,712,Correct
congruent_pinky_thumb,15,49,1,109,34.29,12.12,0.04,0.19,99,1905,Incorrect
congruent_pinky_thumb,15,50,2,112,60.32,38.72,0.07,0.61,112,4226,Correct
congruent_pinky_thumb,15,51,1,109,45.68,38.11,0.05,0.6,109,870,Correct
congruent_pinky_thumb,15,52,2,113,13.08,30.73,0.01,0.48,113,1825,Correct
