date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-07-02,mis_rep,5,0,-90.0,1.0,0.0,2008,5806,-3.13
2025-07-02,mis_rep,5,1,30.0,1.0,0.0,2005,660,-0.82
2025-07-02,mis_rep,5,2,150.0,1.0,0.0,2006,734,1.02
2025-07-02,mis_rep,5,3,150.0,1.0,0.0,2007,2623,1.11
2025-07-02,mis_rep,5,4,-120.0,1.0,0.0,2008,715,2.75
2025-07-02,mis_rep,5,5,-90.0,1.0,0.0,2008,565,-3.11
2025-07-02,mis_rep,5,6,120.0,1.0,0.0,2007,422,0.61
2025-07-02,mis_rep,5,7,60.0,1.0,0.0,2008,421,-0.4
2025-07-02,mis_rep,5,8,0.0,1.0,0.0,2010,715,-1.48
2025-07-02,mis_rep,5,9,-30.0,1.0,0.0,2009,412,-2.11
2025-07-02,mis_rep,5,10,90.0,1.0,0.0,2005,368,-0.08
2025-07-02,mis_rep,5,11,-120.0,1.0,0.0,2005,453,2.77
2025-07-02,mis_rep,5,12,0.0,1.0,0.0,2008,433,-1.47
2025-07-02,mis_rep,5,13,-120.0,1.0,0.0,2007,318,2.55
2025-07-02,mis_rep,5,14,-60.0,1.0,0.0,2003,445,-2.6
2025-07-02,mis_rep,5,15,-90.0,1.0,0.0,2007,442,3.13
2025-07-02,mis_rep,5,16,-150.0,1.0,0.0,2004,400,2.34
2025-07-02,mis_rep,5,17,120.0,1.0,0.0,2009,384,0.51
2025-07-02,mis_rep,5,18,30.0,1.0,0.0,2010,427,-0.8
2025-07-02,mis_rep,5,19,-30.0,1.0,0.0,2001,493,-2.15
2025-07-02,mis_rep,5,20,-150.0,1.0,0.0,2003,455,2.13
2025-07-02,mis_rep,5,21,-30.0,1.0,0.0,2010,1475,-2.08
2025-07-02,mis_rep,5,22,90.0,1.0,0.0,2007,1267,0.02
2025-07-02,mis_rep,5,23,90.0,1.0,0.0,2005,402,0.06
2025-07-02,mis_rep,5,24,0.0,1.0,0.0,2008,431,-1.51
2025-07-02,mis_rep,5,25,-150.0,1.0,0.0,2007,340,2.24
2025-07-02,mis_rep,5,26,150.0,1.0,0.0,2008,431,0.98
2025-07-02,mis_rep,5,27,-60.0,1.0,0.0,2007,401,-2.76
2025-07-02,mis_rep,5,28,30.0,1.0,0.0,2009,425,-1.01
2025-07-02,mis_rep,5,29,120.0,1.0,0.0,2008,363,0.48
2025-07-02,mis_rep,5,30,60.0,1.0,0.0,2008,349,-0.42
2025-07-02,mis_rep,5,31,-60.0,1.0,0.0,2009,406,-2.63
2025-07-02,mis_rep,5,32,60.0,1.0,0.0,2001,382,-0.49
2025-07-02,mis_rep,5,33,-120.0,1.0,0.0,2008,508,2.56
2025-07-02,mis_rep,5,34,-60.0,1.0,0.0,2005,443,-2.6
2025-07-02,mis_rep,5,35,-90.0,1.0,0.0,2011,432,3.05
2025-07-02,mis_rep,5,36,-150.0,1.0,0.0,2008,456,1.93
2025-07-02,mis_rep,5,37,150.0,1.0,0.0,2006,474,1.03
2025-07-02,mis_rep,5,38,-90.0,1.0,0.0,2010,526,3.14
2025-07-02,mis_rep,5,39,30.0,1.0,0.0,2009,462,-0.93
2025-07-02,mis_rep,5,40,-120.0,1.0,0.0,2004,381,2.67
2025-07-02,mis_rep,5,41,60.0,1.0,0.0,2007,422,-0.39
